		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  256  234  246  219  252  247  219  264  8.366895 0.398476 SUCCESS   0
000000011  260  235  243  227  225  278  239  250  9.337093 0.314662 SUCCESS   1
000000101  240  254  228  252  270  243  205  237 11.391878 0.180468 SUCCESS   2
000000111  249  239  244  242  238  224  244  232  2.728946 0.950200 SUCCESS   3
000001001  234  241  267  240  252  238  272  221  8.743959 0.364354 SUCCESS   4
000001011  221  230  236  242  257  240  227  232  6.049436 0.641694 SUCCESS   5
000001101  273  252  259  234  223  270  236  274 13.955064 0.082944 SUCCESS   6
000001111  230  253  249  227  256  246  228  246  4.250969 0.833800 SUCCESS   7
000010001  224  227  263  258  239  229  217  257 10.183368 0.252391 SUCCESS   8
000010011  228  252  238  226  229  236  303  237 19.064489 0.014519 SUCCESS   9
000010101  225  240  264  240  237  253  245  244  3.919450 0.864317 SUCCESS  10
000010111  217  239  239  249  243  244  238  226  4.996624 0.757937 SUCCESS  11
000011001  230  219  236  199  267  243  263  247 16.193085 0.039698 SUCCESS  12
000011011  259  255  239  233  229  255  256  259  5.079239 0.749074 SUCCESS  13
000011101  222  242  250  240  238  215  282  229 13.110907 0.108090 SUCCESS  14
000011111  254  239  268  217  245  258  241  243  6.922190 0.545051 SUCCESS  15
000100011  248  246  232  243  229  243  213  241  5.827011 0.666602 SUCCESS  16
000100101  222  245  240  270  228  244  247  235  6.475222 0.594157 SUCCESS  17
000100111  254  239  237  254  231  230  271  265  7.633951 0.470018 SUCCESS  18
000101001  240  256  216  226  225  275  252  264 12.937204 0.114029 SUCCESS  19
000101011  237  226  233  250  238  244  251  211  7.285485 0.506168 SUCCESS  20
000101101  251  253  266  239  269  242  235  232  6.288808 0.614916 SUCCESS  21
000101111  259  236  262  226  242  237  228  238  5.457361 0.707759 SUCCESS  22
000110011  251  234  232  235  245  248  261  240  2.955607 0.937112 SUCCESS  23
000110101  258  239  228  249  258  227  237  235  4.755133 0.783398 SUCCESS  24
000110111  232  251  229  238  267  259  247  257  5.842898 0.664824 SUCCESS  25
000111001  256  249  234  254  251  245  238  223  3.798705 0.874813 SUCCESS  26
000111011  237  219  260  260  251  231  242  261  7.180627 0.517276 SUCCESS  27
000111101  241  245  240  224  230  252  225  269  7.111781 0.524622 SUCCESS  28
000111111  233  238  258  265  254  264  237  220  8.112695 0.422540 SUCCESS  29
001000011  272  240  231  234  252  248  235  231  5.937164 0.654270 SUCCESS  30
001000101  241  244  267  246  228  254  247  253  4.156704 0.842715 SUCCESS  31
001000111  242  239  243  239  228  226  206  257  9.600825 0.294167 SUCCESS  32
001001011  224  240  261  272  240  251  234  235  7.345857 0.499818 SUCCESS  33
001001101  228  255  263  236  235  259  268  228  8.198487 0.414326 SUCCESS  34
001001111  239  249  231  236  240  245  246  254  1.724855 0.988317 SUCCESS  35
001010011  221  260  218  236  231  261  257  248  9.206815 0.325151 SUCCESS  36
001010101  241  246  235  254  254  265  247  268  5.531503 0.699547 SUCCESS  37
001010111  255  230  237  245  246  227  224  208 10.066859 0.260365 SUCCESS  38
001011011  263  263  268  237  265  259  246  245  8.450569 0.390738 SUCCESS  39
001011101  223  233  243  260  235  231  243  254  4.989209 0.758729 SUCCESS  40
001011111  266  221  258  243  241  243  244  244  5.160795 0.740260 SUCCESS  41
001100101  281  237  237  233  256  243  242  235  7.690087 0.464314 SUCCESS  42
001100111  251  257  233  245  260  248  270  254  5.811123 0.668379 SUCCESS  43
001101011  278  242  252  252  247  232  233  233  7.112841 0.524508 SUCCESS  44
001101101  258  251  239  246  235  257  238  261  3.562510 0.894284 SUCCESS  45
001101111  243  235  219  252  282  242  273  254 13.337569 0.100751 SUCCESS  46
001110101  253  247  239  264  240  250  284  218 11.999840 0.151211 SUCCESS  47
001110111  230  238  243  242  244  214  252  240  5.208457 0.735081 SUCCESS  48
001111011  236  236  243  242  243  251  240  236  1.141253 0.997189 SUCCESS  49
001111101  254  250  249  245  247  236  229  261  3.153672 0.924347 SUCCESS  50
001111111  245  254  258  257  231  248  247  243  2.768135 0.948055 SUCCESS  51
010000011  227  244  255  237  264  243  234  251  4.272153 0.831772 SUCCESS  52
010000111  240  217  251  244  234  249  234  242  4.378070 0.821504 SUCCESS  53
010001011  247  258  264  208  234  236  234  253  9.535157 0.299178 SUCCESS  54
010001111  233  243  215  253  248  252  214  251  8.828692 0.356953 SUCCESS  55
010010011  233  289  261  248  226  254  239  236 12.522010 0.129388 SUCCESS  56
010010111  241  236  248  239  212  235  248  222  7.358567 0.498486 SUCCESS  57
010011011  223  227  241  246  256  250  270  238  6.928545 0.544361 SUCCESS  58
010011111  222  253  244  248  221  216  272  247 11.415180 0.179266 SUCCESS  59
010100011  226  240  235  250  282  263  240  243  9.627305 0.292164 SUCCESS  60
010100111  227  239  233  248  237  244  258  240  3.044577 0.931529 SUCCESS  61
010101011  239  249  231  260  251  251  245  268  4.828216 0.775769 SUCCESS  62
010101111  257  230  244  242  252  251  247  220  4.530590 0.806365 SUCCESS  63
010110011  260  228  239  239  255  254  237  275  7.559809 0.477605 SUCCESS  64
010110111  271  269  260  247  241  258  221  237 10.121936 0.256572 SUCCESS  65
010111011  237  248  220  256  243  205  244  249  9.933404 0.269731 SUCCESS  66
010111111  242  220  233  250  233  219  246  228  7.470839 0.486786 SUCCESS  67
011000111  228  260  248  247  242  233  262  258  4.980736 0.759633 SUCCESS  68
011001111  252  251  244  239  295  248  251  260 12.871535 0.116347 SUCCESS  69
011010111  238  214  269  251  236  259  239  261  9.360394 0.312811 SUCCESS  70
