		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  246  239  256  243  221  230  233  237  4.579311 0.801447 SUCCESS   0
000000011  257  230  243  246  247  226  230  247  3.874965 0.868225 SUCCESS   1
000000101  225  251  242  271  228  251  251  238  6.490050 0.592512 SUCCESS   2
000000111  240  238  233  233  228  228  256  232  4.703234 0.788773 SUCCESS   3
000001001  230  244  237  233  254  255  238  242  2.677046 0.952963 SUCCESS   4
000001011  231  255  223  254  242  265  240  243  5.477486 0.705533 SUCCESS   5
000001101  241  242  240  246  229  273  243  255  5.155499 0.740834 SUCCESS   6
000001111  228  234  236  253  223  228  249  247  5.277303 0.727568 SUCCESS   7
000010001  249  245  254  247  248  237  237  263  2.555242 0.959105 SUCCESS   8
000010011  245  247  256  220  223  250  215  261  9.938700 0.269355 SUCCESS   9
000010101  240  224  239  267  221  215  240  245 10.050972 0.261467 SUCCESS  10
000010111  240  232  245  229  229  269  249  246  5.373687 0.716991 SUCCESS  11
000011001  257  241  227  253  242  239  266  251  4.677814 0.791391 SUCCESS  12
000011011  223  228  201  253  259  261  250  269 16.116825 0.040738 SUCCESS  13
000011101  243  240  227  221  276  210  241  267 15.082018 0.057570 SUCCESS  14
000011111  249  257  227  258  243  245  259  229  4.776317 0.781194 SUCCESS  15
000100011  248  235  263  256  229  265  218  248  8.293812 0.405309 SUCCESS  16
000100101  254  258  239  260  236  245  256  255  3.789172 0.875626 SUCCESS  17
000100111  243  258  258  223  246  245  237  235  4.113278 0.846761 SUCCESS  18
000101001  241  277  256  241  250  247  277  213 14.123471 0.078603 SUCCESS  19
000101011  238  226  241  266  233  238  252  242  4.584607 0.800910 SUCCESS  20
000101101  245  269  225  247  233  264  252  246  6.684937 0.570975 SUCCESS  21
000101111  234  226  268  210  234  276  271  217 20.090822 0.009998 FAILURE  22
000110011  236  212  238  269  239  240  240  263  9.197283 0.325928 SUCCESS  23
000110101  241  260  253  252  257  247  251  240  2.715176 0.950942 SUCCESS  24
000110111  235  244  222  241  257  256  241  262  5.162913 0.740030 SUCCESS  25
000111001  248  255  246  252  237  244  223  249  3.048814 0.931257 SUCCESS  26
000111011  255  246  253  240  279  202  240  274 17.446080 0.025785 SUCCESS  27
000111101  246  228  255  225  240  251  242  236  3.738332 0.879927 SUCCESS  28
000111111  237  274  252  239  239  223  243  235  6.730481 0.565971 SUCCESS  29
001000011  256  240  227  232  264  260  276  264 11.254186 0.187708 SUCCESS  30
001000101  252  237  240  260  250  254  248  245  2.243847 0.972609 SUCCESS  31
001000111  251  247  264  266  226  259  223  233  8.680409 0.369969 SUCCESS  32
001001011  265  241  247  259  257  227  247  274  8.621095 0.375260 SUCCESS  33
001001101  222  222  220  263  246  232  237  244  8.975916 0.344332 SUCCESS  34
001001111  234  250  268  228  227  239  240  239  5.634242 0.688126 SUCCESS  35
001010011  241  264  256  237  245  251  259  220  6.134170 0.632206 SUCCESS  36
001010101  252  220  241  269  228  262  246  247  7.896625 0.443633 SUCCESS  37
001010111  231  218  226  244  241  229  264  246  7.712329 0.462063 SUCCESS  38
001011011  242  254  229  263  237  248  251  230  4.235082 0.835315 SUCCESS  39
001011101  251  263  244  267  251  248  234  254  5.037931 0.753514 SUCCESS  40
001011111  228  232  277  231  231  263  255  206 15.931471 0.043372 SUCCESS  41
001100101  250  241  242  230  263  233  244  251  3.286068 0.915144 SUCCESS  42
001100111  252  231  253  258  226  252  245  257  4.501992 0.809234 SUCCESS  43
001101011  244  244  228  267  258  227  229  255  6.846989 0.553228 SUCCESS  44
001101101  245  249  199  268  261  250  224  277 18.793342 0.016005 SUCCESS  45
001101111  226  242  236  272  251  255  245  257  6.389429 0.603697 SUCCESS  46
001110101  242  252  255  231  240  235  266  236  4.244614 0.834407 SUCCESS  47
001110111  248  241  256  208  269  242  238  259  9.968357 0.267254 SUCCESS  48
001111011  245  234  248  244  255  254  250  237  1.776754 0.987108 SUCCESS  49
001111101  236  226  247  226  239  274  252  249  7.354331 0.498930 SUCCESS  50
001111111  236  264  228  255  227  213  241  204 15.765181 0.045867 SUCCESS  51
010000011  243  230  236  236  251  232  240  253  2.638916 0.954938 SUCCESS  52
010000111  263  259  238  245  248  243  262  251  4.231904 0.835617 SUCCESS  53
010001011  260  249  240  234  258  247  236  231  3.534972 0.896459 SUCCESS  54
010001111  261  250  246  235  218  239  233  237  5.462657 0.707174 SUCCESS  55
010010011  208  244  241  236  237  264  237  237  8.168831 0.417155 SUCCESS  56
010010111  252  229  251  248  238  241  238  276  6.159590 0.629361 SUCCESS  57
010011011  233  234  254  251  251  256  244  252  2.632561 0.955263 SUCCESS  58
010011111  247  259  244  231  236  243  253  245  2.324343 0.969419 SUCCESS  59
010100011  254  251  237  232  246  249  239  222  3.752101 0.878769 SUCCESS  60
010100111  238  254  281  251  241  240  258  217 10.579496 0.226682 SUCCESS  61
010101011  228  245  241  258  236  248  257  235  3.360209 0.909764 SUCCESS  62
010101111  232  250  222  247  249  230  262  233  5.702029 0.680569 SUCCESS  63
010110011  272  258  227  247  250  234  231  245  6.698706 0.569461 SUCCESS  64
010110111  237  241  240  247  270  245  250  251  3.549800 0.895290 SUCCESS  65
010111011  245  260  220  268  237  245  230  250  7.161562 0.519306 SUCCESS  66
010111111  229  247  278  208  260  254  244  213 16.980047 0.030318 SUCCESS  67
011000111  258  232  239  254  249  225  223  245  5.507142 0.702249 SUCCESS  68
011001111  246  232  244  262  224  244  273  244  7.239941 0.510980 SUCCESS  69
011010111  265  254  243  251  249  213  252  267  9.149620 0.329832 SUCCESS  70
011011111  233  241  244  252  273  279  246  250  9.674967 0.288584 SUCCESS  71
011101111  239  258  252  231  249  231  229  255  4.220254 0.836725 SUCCESS  72
011111111  237  255  251  230  227  246  279  199 16.798929 0.032272 SUCCESS  73
100000000  246  239  256  243  221  230  233  237  4.579311 0.801447 SUCCESS  74
100010000  231  251  243  259  277  249  244  264  8.226026 0.411709 SUCCESS  75
100100000  256  239  247  240  250  250  249  249  1.309661 0.995436 SUCCESS  76
100101000  249  259  263  228  263  267  251  232  8.198487 0.414326 SUCCESS  77
100110000  252  251  214  252  241  233  233  224  7.376573 0.496601 SUCCESS  78
100111000  239  266  276  238  214  243  237  250 10.813572 0.212488 SUCCESS  79
101000000  228  260  247  244  239  252  240  271  5.710503 0.679623 SUCCESS  80
101000100  234  233  233  236  266  237  258  254  5.233877 0.732312 SUCCESS  81
101001000  258  253  244  257  236  265  257  241  4.721240 0.786912 SUCCESS  82
101001100  255  259  254  240  239  226  228  242  4.547536 0.804659 SUCCESS  83
101010000  231  254  250  269  240  247  256  239  4.726536 0.786364 SUCCESS  84
101010100  240  227  263  229  243  260  234  243  5.305900 0.724436 SUCCESS  85
101011000  249  231  253  264  234  229  237  250  4.602613 0.799081 SUCCESS  86
101011100  228  241  232  253  233  238  252  260  4.113278 0.846761 SUCCESS  87
101100000  232  249  237  252  229  254  251  230  3.629238 0.888931 SUCCESS  88
101100100  248  227  245  231  224  241  251  238  4.155644 0.842815 SUCCESS  89
101101000  261  236  253  245  265  249  271  232  7.452833 0.488653 SUCCESS  90
101101100  231  249  231  272  232  259  234  255  7.347976 0.499596 SUCCESS  91
101110000  208  217  242  245  268  237  243  238 11.462842 0.176827 SUCCESS  92
101110100  236  242  251  251  245  237  255  245  1.421933 0.993930 SUCCESS  93
101111000  252  241  229  233  248  254  264  265  5.794177 0.670275 SUCCESS  94
101111100  255  256  247  271  235  250  258  243  5.513497 0.701544 SUCCESS  95
110000000  238  214  246  257  242  235  239  253  5.537858 0.698842 SUCCESS  96
110000010  237  253  235  251  253  209  229  212 12.004077 0.151022 SUCCESS  97
110000100  266  226  227  249  254  222  236  248  7.592643 0.474238 SUCCESS  98
110001000  255  241  248  247  250  263  235  261  3.855900 0.869885 SUCCESS  99
110001010  228  255  224  251  229  246  258  238  5.477486 0.705533 SUCCESS 100
110010000  269  233  247  231  246  253  244  248  4.322993 0.826870 SUCCESS 101
110010010  249  240  248  253  241  237  227  243  2.074380 0.978646 SUCCESS 102
110010100  255  229  234  231  253  254  235  259  4.671459 0.792044 SUCCESS 103
110011000  256  242  233  241  259  253  224  233  4.693702 0.789756 SUCCESS 104
110011010  243  239  263  234  230  243  252  260  4.241437 0.834710 SUCCESS 105
110100000  231  243  260  226  247  231  229  273  8.461161 0.389766 SUCCESS 106
110100010  253  230  244  237  259  255  241  218  5.765579 0.673471 SUCCESS 107
110100100  246  263  242  249  229  260  240  236  4.032781 0.854154 SUCCESS 108
110101000  214  241  263  251  247  256  262  236  7.861672 0.447098 SUCCESS 109
110101010  216  252  263  218  251  246  245  231  8.963206 0.345409 SUCCESS 110
110101100  254  249  233  248  229  221  241  263  5.887384 0.659845 SUCCESS 111
110110000  246  245  207  231  253  244  240  258  7.808714 0.452375 SUCCESS 112
110110010  235  248  254  247  229  260  254  246  3.329494 0.912012 SUCCESS 113
110110100  261  239  229  237  251  250  238  243  3.012802 0.933552 SUCCESS 114
110111000  221  243  233  249  278  242  252  230  8.884828 0.352105 SUCCESS 115
110111010  231  233  241  262  263  237  242  270  7.229349 0.512102 SUCCESS 116
