		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  229  244  235  239  230  248  260  242  3.429055 0.904625 SUCCESS   0
000000011  209  243  245  242  229  239  264  224  9.724748 0.284879 SUCCESS   1
000000101  254  251  241  228  207  228  238  247  8.891183 0.351559 SUCCESS   2
000000111  216  258  240  267  244  233  268  234  9.829606 0.277190 SUCCESS   3
000001001  234  254  250  241  234  242  250  240  1.706849 0.988719 SUCCESS   4
000001011  258  244  238  230  213  219  219  249 11.373872 0.181401 SUCCESS   5
000001101  222  247  262  220  253  227  248  243  7.573578 0.476191 SUCCESS   6
000001111  237  225  246  266  252  236  251  253  4.883293 0.769974 SUCCESS   7
000010001  251  241  252  242  222  262  242  241  4.011598 0.856076 SUCCESS   8
000010011  248  261  259  271  239  241  238  252  5.841839 0.664943 SUCCESS   9
000010101  268  233  232  248  245  233  246  231  4.898121 0.768408 SUCCESS  10
000010111  237  234  240  244  264  200  226  240 12.107875 0.146455 SUCCESS  11
000011001  229  252  231  246  238  249  240  255  2.809442 0.945741 SUCCESS  12
000011011  251  249  238  258  246  243  233  263  3.329494 0.912012 SUCCESS  13
000011101  241  247  250  244  247  222  256  244  2.929128 0.938726 SUCCESS  14
000011111  245  254  239  241  264  235  252  250  3.004329 0.934086 SUCCESS  15
000100011  282  241  239  248  222  240  248  243  8.508824 0.385407 SUCCESS  16
000100101  264  256  235  232  235  234  243  274  7.820365 0.451211 SUCCESS  17
000100111  220  232  265  253  274  241  247  241  9.167626 0.328353 SUCCESS  18
000101001  260  225  239  243  228  252  271  241  7.199692 0.515249 SUCCESS  19
000101011  252  241  229  238  255  230  258  220  6.060028 0.640508 SUCCESS  20
000101101  243  233  263  231  227  210  240  263 10.526538 0.229995 SUCCESS  21
000101111  239  232  242  231  257  225  225  247  5.319670 0.722927 SUCCESS  22
000110011  243  238  241  258  233  252  246  259  2.760721 0.948465 SUCCESS  23
