		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  249  221  254  247  239  266  245  241  4.997683 0.757824 SUCCESS   0
000000011  239  233  241  241  238  252  263  236  2.929128 0.938726 SUCCESS   1
000000101  250  239  220  256  248  257  249  258  5.002979 0.757258 SUCCESS   2
000000111  242  245  223  239  248  265  255  240  4.507288 0.808704 SUCCESS   3
000001001  248  252  266  238  261  262  246  257  5.789940 0.670748 SUCCESS   4
000001011  258  245  250  253  261  243  234  263  4.454330 0.813985 SUCCESS   5
000001101  246  235  246  238  224  238  237  267  4.848340 0.773656 SUCCESS   6
000001111  258  257  219  257  255  266  237  237  7.853199 0.447940 SUCCESS   7
000010001  246  260  252  262  245  251  257  238  3.763752 0.877785 SUCCESS   8
000010011  227  255  249  240  239  248  257  239  2.904767 0.940191 SUCCESS   9
000010101  238  262  245  233  242  244  246  248  2.137930 0.976489 SUCCESS  10
000010111  256  243  257  237  255  235  239  263  3.994651 0.857606 SUCCESS  11
000011001  249  237  251  259  229  249  224  256  4.836689 0.774880 SUCCESS  12
000011011  247  236  240  260  224  241  244  247  3.246879 0.917923 SUCCESS  13
000011101  259  237  244  226  241  246  251  257  3.503197 0.898941 SUCCESS  14
000011111  254  243  224  252  233  281  254  243  9.100898 0.333856 SUCCESS  15
000100011  264  242  250  261  257  246  245  257  4.468099 0.812616 SUCCESS  16
000100101  259  234  241  231  268  242  241  237  4.833512 0.775213 SUCCESS  17
000100111  219  276  246  257  278  250  259  226 15.033296 0.058501 SUCCESS  18
000101001  252  246  233  249  247  227  233  241  2.745892 0.949279 SUCCESS  19
000101011  244  275  232  237  232  245  249  240  5.675550 0.683523 SUCCESS  20
000101101  244  261  253  259  246  226  263  233  5.918099 0.656406 SUCCESS  21
000101111  249  255  238  247  242  258  231  257  3.062583 0.930369 SUCCESS  22
000110011  246  239  262  265  240  245  223  241  5.333439 0.721415 SUCCESS  23
000110101  255  240  244  253  235  275  242  263  6.826865 0.555423 SUCCESS  24
000110111  234  248  246  258  233  262  253  264  5.213753 0.734505 SUCCESS  25
000111001  248  239  231  232  240  225  243  241  3.196038 0.921459 SUCCESS  26
000111011  246  240  243  233  260  227  244  257  3.629238 0.888931 SUCCESS  27
000111101  231  240  240  241  248  246  238  236  1.432524 0.993772 SUCCESS  28
000111111  236  242  247  255  250  263  241  257  3.234169 0.918814 SUCCESS  29
001000011  265  239  248  244  223  271  244  224  8.687823 0.369311 SUCCESS  30
001000101  252  258  247  242  243  254  270  255  4.888588 0.769415 SUCCESS  31
001000111  264  226  254  248  247  219  246  248  6.330116 0.610306 SUCCESS  32
001001011  259  247  221  229  242  227  271  259  9.466311 0.304497 SUCCESS  33
001001101  245  245  260  238  247  247  265  232  3.772226 0.877067 SUCCESS  34
001001111  216  231  254  248  283  250  247  249 11.242535 0.188332 SUCCESS  35
001010011  255  241  220  261  253  237  244  228  5.865141 0.662335 SUCCESS  36
001010101  243  240  248  229  250  232  247  237  2.129457 0.976784 SUCCESS  37
001010111  252  239  235  227  225  224  231  241  6.006010 0.646559 SUCCESS  38
001011011  249  249  255  235  245  239  223  254  3.473540 0.901233 SUCCESS  39
001011101  211  236  224  210  246  233  259  244 13.054771 0.109979 SUCCESS  40
001011111  226  233  243  277  248  243  240  243  6.646807 0.575174 SUCCESS  41
001100101  259  229  250  254  213  229  220  248 10.068978 0.260218 SUCCESS  42
001100111  240  247  261  249  232  274  236  230  6.943374 0.542754 SUCCESS  43
001101011  251  256  260  241  255  263  260  248  5.048523 0.752378 SUCCESS  44
001101101  226  247  245  267  239  240  267  245  6.050495 0.641576 SUCCESS  45
001101111  242  234  256  254  234  245  239  256  2.610319 0.956388 SUCCESS  46
001110101  278  263  261  248  259  254  227  235 10.586911 0.226221 SUCCESS  47
001110111  249  226  240  266  253  226  240  252  5.652248 0.686120 SUCCESS  48
001111011  255  236  223  220  241  269  227  237  9.257655 0.321029 SUCCESS  49
001111101  246  253  243  236  265  264  239  245  4.267916 0.832178 SUCCESS  50
001111111  245  264  256  243  254  272  237  249  6.300459 0.613615 SUCCESS  51
010000011  255  250  236  230  257  251  205  241  9.201519 0.325582 SUCCESS  52
010000111  250  258  246  238  231  251  245  220  4.534826 0.805939 SUCCESS  53
010001011  233  244  256  233  244  263  243  259  4.098449 0.848134 SUCCESS  54
010001111  265  251  239  245  242  245  255  242  2.703525 0.951564 SUCCESS  55
010010011  259  227  248  248  250  230  260  257  5.068647 0.750214 SUCCESS  56
010010111  227  243  240  228  238  238  246  251  2.954548 0.937177 SUCCESS  57
010011011  225  253  244  244  232  248  253  260  3.971349 0.859699 SUCCESS  58
010011111  234  258  274  273  292  232  244  216 22.248347 0.004476 FAILURE  59
010100011  233  254  254  236  259  271  246  244  5.642716 0.687182 SUCCESS  60
010100111  245  256  234  255  263  212  247  221  9.718393 0.285350 SUCCESS  61
010101011  239  231  251  230  235  231  236  232  3.871787 0.868502 SUCCESS  62
010101111  261  248  215  232  232  224  228  224 10.643046 0.222756 SUCCESS  63
010110011  259  256  235  244  258  253  255  245  3.541327 0.895959 SUCCESS  64
010110111  250  246  259  228  252  247  218  268  7.804477 0.452799 SUCCESS  65
010111011  217  227  240  242  251  241  256  224  7.005865 0.536000 SUCCESS  66
010111111  264  239  233  248  240  253  261  242  4.004183 0.856746 SUCCESS  67
011000111  230  259  231  246  241  261  218  247  6.701883 0.569112 SUCCESS  68
011001111  244  268  258  243  251  256  224  242  5.768757 0.673116 SUCCESS  69
011010111  258  252  246  243  265  261  265  237  6.212548 0.623437 SUCCESS  70
011011111  245  232  265  253  230  232  234  249  4.809151 0.777766 SUCCESS  71
011101111  238  216  230  250  235  231  254  243  6.002833 0.646915 SUCCESS  72
011111111  240  269  235  256  237  245  239  246  3.988296 0.858178 SUCCESS  73
100000000  249  221  254  247  239  266  245  241  4.997683 0.757824 SUCCESS  74
100010000  248  245  259  250  247  234  255  236  2.400604 0.966205 SUCCESS  75
100100000  241  225  213  271  254  252  236  252  9.973652 0.266880 SUCCESS  76
100101000  249  237  253  240  257  248  237  240  1.774635 0.987159 SUCCESS  77
100110000  235  247  267  250  219  239  258  269  8.973798 0.344511 SUCCESS  78
100111000  247  243  261  253  238  236  262  247  3.407872 0.906221 SUCCESS  79
101000000  239  232  247  223  224  243  239  243  4.497756 0.809658 SUCCESS  80
101000100  261  233  247  262  258  233  246  250  4.620619 0.797248 SUCCESS  81
101001000  243  260  231  233  237  248  256  239  3.314665 0.913088 SUCCESS  82
101001100  260  242  246  247  234  255  257  236  3.054110 0.930916 SUCCESS  83
101010000  248  257  236  215  220  267  226  256 11.311381 0.184672 SUCCESS  84
101010100  263  234  237  226  250  244  231  238  4.585666 0.800803 SUCCESS  85
101011000  266  262  247  242  239  253  230  251  4.925659 0.765491 SUCCESS  86
101011100  259  249  241  267  252  240  253  236  4.244614 0.834407 SUCCESS  87
101100000  260  260  270  248  231  258  242  234  7.034462 0.532919 SUCCESS  88
