		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  233  251  245  270  252  249  237  249  4.243555 0.834508 SUCCESS   0
000000011  250  257  221  222  238  220  252  259  9.012987 0.341202 SUCCESS   1
000000101  226  274  247  254  217  265  235  236 11.217115 0.189698 SUCCESS   2
000000111  241  239  222  236  259  223  236  252  5.876792 0.661031 SUCCESS   3
000001001  239  237  252  240  239  235  222  239  3.310429 0.913394 SUCCESS   4
000001011  229  258  250  266  235  232  237  264  6.822629 0.555885 SUCCESS   5
000001101  260  216  236  228  253  218  239  264 10.810395 0.212676 SUCCESS   6
000001111  256  239  254  256  241  241  258  252  2.880406 0.941637 SUCCESS   7
000010001  243  218  254  233  228  282  228  260 13.182930 0.105709 SUCCESS   8
000010011  240  243  255  244  238  239  230  235  2.046842 0.979542 SUCCESS   9
000010101  268  275  242  237  242  241  232  224  9.087129 0.334999 SUCCESS  10
000010111  227  251  249  269  245  244  253  252  4.764666 0.782407 SUCCESS  11
000011001  244  256  255  238  236  237  261  250  3.104950 0.927600 SUCCESS  12
000011011  253  220  253  246  232  244  249  257  4.574016 0.801983 SUCCESS  13
000011101  247  253  241  227  240  246  244  231  2.469449 0.963140 SUCCESS  14
000011111  228  242  262  265  263  244  244  246  5.845017 0.664587 SUCCESS  15
000100011  245  232  253  235  245  268  251  249  4.031722 0.854250 SUCCESS  16
000100101  251  251  237  227  239  213  242  251  6.293045 0.614443 SUCCESS  17
000100111  277  261  255  239  234  224  248  238  8.770438 0.362030 SUCCESS  18
000101001  243  251  232  220  267  248  228  239  6.787676 0.559705 SUCCESS  19
000101011  249  241  254  233  250  231  239  254  2.480041 0.962655 SUCCESS  20
000101101  246  256  241  240  245  232  229  248  2.384716 0.966890 SUCCESS  21
000101111  228  227  258  254  257  254  255  234  5.623651 0.689305 SUCCESS  22
000110011  238  272  243  240  256  256  255  248  5.287895 0.726409 SUCCESS  23
000110101  241  236  230  264  220  235  233  280 11.635487 0.168223 SUCCESS  24
000110111  264  218  243  277  238  268  258  241 12.580264 0.127131 SUCCESS  25
000111001  225  233  235  256  260  236  259  228  6.410612 0.601339 SUCCESS  26
000111011  256  253  260  231  216  240  250  256  6.895711 0.547925 SUCCESS  27
000111101  242  232  237  243  253  250  252  250  1.751334 0.987709 SUCCESS  28
000111111  225  246  246  241  267  256  255  242  4.955316 0.762341 SUCCESS  29
001000011  256  261  242  262  246  217  264  235  8.335120 0.401438 SUCCESS  30
001000101  239  235  251  256  240  235  259  270  5.460539 0.707408 SUCCESS  31
001000111  255  252  249  222  252  228  241  248  4.407726 0.818592 SUCCESS  32
001001011  254  248  265  236  251  235  246  233  3.694906 0.883548 SUCCESS  33
001001101  257  259  232  272  225  250  238  264  9.082892 0.335352 SUCCESS  34
001001111  258  254  253  242  259  216  237  228  7.186982 0.516600 SUCCESS  35
001010011  222  280  208  226  261  233  217  244 19.295387 0.013357 SUCCESS  36
001010101  249  235  240  233  218  269  242  211 11.230884 0.188957 SUCCESS  37
